"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 16:31:39 GMT 2023","Thu Jan 05 16:31:39 GMT 2023","3","cray-bss-test","smoke","","","","test_smoke[{""path"": ""boot/v1/service/version"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/bss/boot/v1/service/version""}]",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","240","cray-smd-test","functional","","","","Ensure that we can conduct a variety of queries on the Components collection",""
"passed","Thu Jan 05 16:31:57 GMT 2023","Thu Jan 05 16:31:57 GMT 2023","19","cray-sls-test","functional","","","","Verify the version resource",""
"passed","Thu Jan 05 16:32:10 GMT 2023","Thu Jan 05 16:32:10 GMT 2023","21","cray-bss-test","functional","","","","Verify the bootscript service gracefully handles invalid nids for the bootscript resource[9999999999999999999999999999]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/HardwareByFRU/History"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/HardwareByFRU/History""}]",""
"passed","Thu Jan 05 16:31:50 GMT 2023","Thu Jan 05 16:31:50 GMT 2023","3","cray-firmware-action-hmth-test","smoke","","","","test_smoke[{""path"": ""snapshots"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/fas/v1/snapshots""}]",""
"passed","Thu Jan 05 16:32:22 GMT 2023","Thu Jan 05 16:32:42 GMT 2023","20097","cray-firmware-action-hmth-test","1-non-disruptive","","","","Verify the snapshots resource for creating a new snapshot",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","35","cray-smd-test","functional","","","","Ensure that we can call the Component Query API with node xnames",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","16","cray-smd-test","functional","","","","Attempt to query the ComponentEndpoints collection with an invalid xname",""
"passed","Thu Jan 05 16:31:54 GMT 2023","Thu Jan 05 16:31:54 GMT 2023","70","cray-smd-test","functional","","","","Query the ServiceEndpoints collection",""
"passed","Thu Jan 05 16:31:51 GMT 2023","Thu Jan 05 16:31:51 GMT 2023","113","cray-capmc-test","functional","","","","Verify get_xname_status POST method with empty payload",""
